tau,mag_triple,mag_bin_q4,mag_bin_q2
-1.9833596672e+00,1.0620171036e+00,1.0619999021e+00,1.0620009619e+00
-1.9832796656e+00,1.0620243618e+00,1.0620071601e+00,1.0620082200e+00
-1.9831996640e+00,1.0620316210e+00,1.0620144191e+00,1.0620154792e+00
-1.9831196624e+00,1.0620388812e+00,1.0620216791e+00,1.0620227394e+00
-1.9830396608e+00,1.0620461425e+00,1.0620289402e+00,1.0620300005e+00
-1.9829596592e+00,1.0620534047e+00,1.0620362022e+00,1.0620372628e+00
-1.9828796576e+00,1.0620606680e+00,1.0620434653e+00,1.0620445260e+00
-1.9827996560e+00,1.0620679323e+00,1.0620507294e+00,1.0620517903e+00
-1.9827196544e+00,1.0620751977e+00,1.0620579946e+00,1.0620590555e+00
-1.9826396528e+00,1.0620824640e+00,1.0620652607e+00,1.0620663218e+00
-1.9825596512e+00,1.0620897314e+00,1.0620725279e+00,1.0620735891e+00
-1.9824796496e+00,1.0620969998e+00,1.0620797961e+00,1.0620808575e+00
-1.9823996480e+00,1.0621042692e+00,1.0620870653e+00,1.0620881268e+00
-1.9823196464e+00,1.0621115396e+00,1.0620943355e+00,1.0620953972e+00
-1.9822396448e+00,1.0621188111e+00,1.0621016068e+00,1.0621026686e+00
-1.9821596432e+00,1.0621260835e+00,1.0621088791e+00,1.0621099411e+00
-1.9820796416e+00,1.0621333570e+00,1.0621161524e+00,1.0621172145e+00
-1.9819996400e+00,1.0621406316e+00,1.0621234267e+00,1.0621244890e+00
-1.9819196384e+00,1.0621479071e+00,1.0621307021e+00,1.0621317645e+00
-1.9818396368e+00,1.0621551837e+00,1.0621379784e+00,1.0621390410e+00
-1.9817596352e+00,1.0621624613e+00,1.0621452558e+00,1.0621463186e+00
-1.9816796336e+00,1.0621697399e+00,1.0621525342e+00,1.0621535971e+00
-1.9815996320e+00,1.0621770195e+00,1.0621598137e+00,1.0621608767e+00
-1.9815196304e+00,1.0621843002e+00,1.0621670941e+00,1.0621681573e+00
-1.9814396288e+00,1.0621915819e+00,1.0621743756e+00,1.0621754390e+00
-1.9813596272e+00,1.0621988646e+00,1.0621816582e+00,1.0621827216e+00
-1.9812796256e+00,1.0622061483e+00,1.0621889417e+00,1.0621900053e+00
-1.9811996240e+00,1.0622134331e+00,1.0621962263e+00,1.0621972900e+00
-1.9811196224e+00,1.0622207189e+00,1.0622035118e+00,1.0622045758e+00
-1.9810396208e+00,1.0622280057e+00,1.0622107985e+00,1.0622118625e+00
-1.9809596192e+00,1.0622352935e+00,1.0622180861e+00,1.0622191503e+00
-1.9808796176e+00,1.0622425824e+00,1.0622253747e+00,1.0622264391e+00
-1.9807996160e+00,1.0622498722e+00,1.0622326644e+00,1.0622337290e+00
-1.9807196144e+00,1.0622571631e+00,1.0622399551e+00,1.0622410198e+00
-1.9806396128e+00,1.0622644551e+00,1.0622472469e+00,1.0622483117e+00
-1.9805596112e+00,1.0622717480e+00,1.0622545396e+00,1.0622556046e+00
-1.9804796096e+00,1.0622790420e+00,1.0622618334e+00,1.0622628986e+00
-1.9803996080e+00,1.0622863370e+00,1.0622691283e+00,1.0622701935e+00
-1.9803196064e+00,1.0622936331e+00,1.0622764241e+00,1.0622774895e+00
-1.9802396048e+00,1.0623009301e+00,1.0622837210e+00,1.0622847865e+00
-1.9801596032e+00,1.0623082282e+00,1.0622910189e+00,1.0622920846e+00
-1.9800796016e+00,1.0623155273e+00,1.0622983178e+00,1.0622993836e+00
-1.9799996000e+00,1.0623228275e+00,1.0623056177e+00,1.0623066837e+00
